"symbol,date,price"
"Biscuits,April 2013,34.67"
"Staples,April 2013,200"
"Spices,April 2013,32.38"
"Home Care,April 2013,75.56"
"Fabric Wash,April 2013,36.44"
"Home Care,April 2013,64"
"Dryfruits,April 2013,45.71"
"Noodles/Pasta,April 2013,17.78"
"Chocolates,April 2013,4.36"
"Fabric Wash,April 2013,42.67"
"Ready to Cook,April 2013,33.78"
"Staples,April 2013,55"
"Home Care,April 2013,168.89"
"Home Care,April 2013,673.87"
"Dryfruits,April 2013,85.71"
"Dryfruits,April 2013,214.29"
"Dryfruits,April 2013,642.86"
"Snacks,April 2013,37.33"
"Home Care,April 2013,93.33"
"Home Care,April 2013,93.33"
"Home Care,April 2013,24.89"
"Home Care,April 2013,64"
"Home Care,April 2013,92.44"
"Home Care,April 2013,120.89"
"Home Care,April 2013,48"
"Home Care,April 2013,68.44"
"Home Care,April 2013,101.33"
"Home Care,April 2013,83.6"
"Home Care,April 2013,50.67"
"Snacks,April 2013,33.78"
"Dairy,April 2013,284.44"
"Dairy,April 2013,27.56"
"Dryfruits,April 2013,24.76"
"Staples,April 2013,35"
"Staples,April 2013,140"
"Staples,April 2013,35"
"Staples,April 2013,70"
"Staples,April 2013,35"
"Staples,April 2013,70"
"Staples,April 2013,70"
"Staples,April 2013,35"
"Staples,April 2013,35"
"Staples,April 2013,140"
"Staples,April 2013,70"
"Staples,April 2013,35"
"Staples,April 2013,70"
"Staples,April 2013,70"
"Staples,April 2013,70"
"Fabric Wash,April 2013,316.67"
"Fabric Wash,April 2013,147.78"
"Fabric Wash,April 2013,75.56"
"Facial Care,April 2013,30.22"
"Facial Care,April 2013,37.78"
"Facial Care,April 2013,33.78"
"Oral Care,April 2013,62.22"
"Baby Care,April 2013,60"
"Baby Care,April 2013,12.44"
"Dryfruits,April 2013,56.19"
"Dryfruits,April 2013,56.19"
"Dryfruits,April 2013,56.19"
"Dryfruits,April 2013,56.19"
"Dryfruits,April 2013,56.19"
"Dryfruits,April 2013,112.38"
"Hair Care,April 2013,42.22"
"Hair Care,April 2013,22.22"
"Noodles/Pasta,April 2013,54.89"
"Noodles/Pasta,April 2013,54.89"
"Noodles/Pasta,April 2013,54.89"
"Noodles/Pasta,April 2013,31.24"
"Noodles/Pasta,April 2013,13.33"
"Noodles/Pasta,April 2013,16.89"
"Noodles/Pasta,April 2013,101.33"
"Snacks,April 2013,33.78"
"Snacks,April 2013,33.78"
"Snacks,April 2013,33.78"
